period,benchmark_return,alpha_strategy_return,beta_strategy_return,benchmark_value,alpha_strategy_value,beta_strategy_value
0,,,,100.000000000000,100.000000000000,100.000000000000
1,0.012250413256,0.017938105214,0.015598968684,101.225041325601,101.793810521354,101.559896868412
2,0.025088935801,0.027112268162,0.028741921160,103.764669888858,104.553671609399,104.478923417250
3,0.004311097540,0.001429486380,0.008596019326,104.212009501946,104.703129658913,105.377026262150
4,0.008595310023,0.011242006115,0.006611735885,105.107744031697,105.880202882849,106.073751328173
5,-0.003749224406,-0.003968644974,0.000121122972,104.713671512465,105.460001947869,106.086599296198
6,0.014513239923,0.014471089926,0.015476457441,106.233406150381,106.986123119703,107.728444035216
7,0.022156575336,0.018349668834,0.032276972678,108.587174616913,108.949283048816,111.205592079969
8,0.022144640717,0.024850031570,0.029935035733,110.991798585293,111.656676172142,114.534535452612
9,0.016700029346,0.019742822406,0.018878769262,112.845364878798,113.861094100199,116.696806519912
10,0.000401220094,-0.000061385154,0.002844579986,112.890640706681,113.854104719442,117.028759920135
11,-0.008755924346,-0.006604161457,-0.010038748921,111.902178797312,113.102193829295,115.853937582757
12,-0.000584586180,-0.004239730728,-0.005024488598,111.836762330055,112.622670982669,115.271830794305
13,-0.012361205970,-0.017058271215,-0.016763208836,110.454325075918,110.701522916080,113.339505021793
14,-0.001065307030,0.000116549482,-0.001406120891,110.336657306898,110.714425121273,113.180135975962
15,0.008466822729,0.010276618153,0.013538085120,111.270858224862,111.852194992242,114.712378290729
16,0.009929239587,0.009262017529,0.014371839984,112.375693235248,112.888171982912,116.361006235683
17,-0.015166916381,-0.011311326763,-0.020859688236,110.671300492674,111.611256981894,113.933751922776
18,-0.036871614705,-0.030737936235,-0.045943920748,106.590670941982,108.180557281646,108.699188653934
19,-0.038538490064,-0.036383609176,-0.049881300813,102.482827429013,104.244558165060,103.277131726547
20,-0.023105592931,-0.023248599741,-0.025520208752,100.114900935983,101.821018157116,100.641477765598
21,-0.000919467310,0.003343208561,0.001683253106,100.022848557299,102.161427056735,100.810882845673
22,-0.014730756310,-0.009620952784,-0.023747328797,98.549436349762,101.178536790631,98.416893664452
23,-0.020488094205,-0.015002757011,-0.023575231926,96.530346213954,99.660579788458,96.096692570837
24,0.009806002143,0.010969309912,0.012713950000,97.476922995826,100.753787574135,97.318461115325
25,0.019171528813,0.024389266147,0.026544195953,99.345704633619,103.211098514573,99.901701416984
26,0.019703803962,0.020880838331,0.027291709699,101.303192922206,105.366232776657,102.628189650489
27,0.015804176106,0.016560852932,0.019162599931,102.904206423210,107.111187461696,104.594812590429
28,0.028743904422,0.029796336305,0.040152406113,105.862075097280,110.302708425287,108.794545982839
29,0.014397544212,0.023657462511,0.018954116658,107.386229003827,112.912190614741,110.856650499163
30,0.014124843924,0.017207377823,0.024267737770,108.903042728045,114.855113339443,113.546890623548
31,0.014682559619,0.013736550171,0.019119516582,110.502018145642,116.432826366229,115.717852281669
32,0.002946860159,0.006109989244,0.005966432187,110.827652140457,117.144229683020,116.408275000179
33,-0.004894991920,-0.010259937566,-0.004828673521,110.285151678669,115.942337200268,115.846177445088
34,0.005767767398,0.012712528509,0.007261982468,110.921250780978,117.416257467365,116.687450354726
35,-0.004412948968,0.006700892775,-0.007496566375,110.431760961769,118.203051218655,115.812695137957
36,0.001046749830,-0.002418357169,0.003950626861,110.547355388821,117.917194022343,116.270227882210
37,-0.000488196705,0.007484548483,0.000263271333,110.493386534191,118.799750978000,116.300838500048
38,-0.005267663016,0.007158627456,0.001169187588,109.911344608388,119.650194137099,116.436815996919
39,0.003924964216,0.011011166412,-0.001696892452,110.342742702935,120.967682335916,116.239235242744
40,-0.016475860582,-0.016554312573,-0.025329760625,108.524751057929,118.965145511351,113.294923238815
41,-0.023786385048,-0.019299052728,-0.036691239345,105.943339542009,116.669230895383,109.137992093678
42,0.006932951220,0.011646784035,0.006420464891,106.677839547111,118.028052231144,109.838708740169
43,-0.023153231584,-0.018061580016,-0.031287575305,104.207902823145,115.896279121687,106.402121869094
44,-0.036242977406,-0.039055838449,-0.048237363318,100.431098155651,111.369852767413,101.269564058702
45,-0.021324645620,-0.016152484273,-0.030397933843,98.289440578218,109.570952972150,98.191178550131
46,-0.021763733750,-0.023569707682,-0.026280158305,96.150295363067,106.988397640108,95.610698833651
47,-0.015097037685,-0.012692293695,-0.017242226375,94.698710730513,105.630469475302,93.962157520507
48,0.016332615539,0.016982005734,0.022509753307,96.245388364879,107.424286713582,96.077222506496
49,0.019235271272,0.016114521233,0.019692981309,98.096694518753,109.155377662715,97.969269453567
50,0.022728492482,0.024934685332,0.031156356207,100.326284502656,111.877132656991,101.021634909995
51,0.018736862141,0.026370386626,0.025532154502,102.206084264465,114.827375899778,103.600934900535
52,0.011252137449,0.008971529486,0.011787363555,103.356121172724,115.857553088495,104.822116784818
53,0.010264481000,0.016740053527,0.012644903145,104.417018114775,117.797014728685,106.147582298990
54,-0.006890604274,-0.004774656747,-0.004609159505,103.697521763429,117.234574417571,105.658331161078
55,0.011610303838,0.009408998153,0.012601560617,104.901481498370,118.337634311696,106.989791025886
56,-0.024264657381,-0.030721729613,-0.032832838654,102.356082991101,114.702097507380,103.477012479517
57,0.008140657985,0.009301402636,0.007839023702,103.189328855435,115.768987899471,104.288171232943
58,0.001210307665,-0.001343702818,-0.000932775049,103.314219691132,115.613428784220,104.190893828930
59,-0.008548591345,-0.006936902826,-0.011886308867,102.431028646886,114.811429663415,102.952448683736
60,-0.001401088579,0.003870461332,-0.003163066801,102.287513702506,115.255802862418,102.626803211266
